SDR:0.0782795 CONVERT:0.000329018 ITER:0 GLOBAL:1.19209e-06 T2SIN:0.000701189 SDR:0.0450854 CONVERT:0.000321627 TIME:0.0461237
ITER:25 GLOBAL:0.0964971 T2SIN:7.39098e-06 PILOT_SINH:5.74589e-05 FREQ_PHASE_SINH:7.9155e-05 PFC:3.76701e-05 MAC:2.28882e-05 SEQ:2624 DET:23 FR_IN_BUF:7 TIME:0.000261068
ITER:26 GLOBAL:0.0967584 T2SIN:1.3113e-05 PILOT_SINH:5.79357e-05 FREQ_PHASE_SINH:7.89165e-05 PFC:3.74317e-05 MAC:2.28882e-05 SEQ:53060 DET:24 FR_IN_BUF:8 TIME:0.000279903
ITER:27 GLOBAL:0.0970385 T2SIN:1.12057e-05 PILOT_SINH:5.6982e-05 FREQ_PHASE_SINH:7.9155e-05 PFC:3.69549e-05 MAC:2.83718e-05 SEQ:26 DET:25 FR_IN_BUF:9 TIME:0.000280857
ITER:28 GLOBAL:0.0973198 T2SIN:1.14441e-05 PILOT_SINH:5.98431e-05 FREQ_PHASE_SINH:8.32081e-05 PFC:3.79086e-05 MAC:2.26498e-05 SEQ:2632 DET:26 FR_IN_BUF:10 TIME:0.000263691
ITER:29 GLOBAL:0.097584 T2SIN:6.67572e-06 PILOT_SINH:5.74589e-05 FREQ_PHASE_SINH:7.89165e-05 PFC:3.48091e-05 MAC:2.26498e-05 SEQ:28 DET:27 FR_IN_BUF:11 TIME:0.000254393
ITER:30 GLOBAL:0.0978386 T2SIN:7.62939e-06 PILOT_SINH:5.67436e-05 FREQ_PHASE_SINH:7.86781e-05 PFC:3.45707e-05 MAC:2.24113e-05 SEQ:29 DET:28 FR_IN_BUF:12 TIME:0.00025034
ITER:31 GLOBAL:0.0980892 T2SIN:8.34465e-06 PILOT_SINH:5.72205e-05 FREQ_PHASE_SINH:7.98702e-05 PFC:4.00543e-05 MAC:2.36034e-05 SEQ:46049 DET:29 FR_IN_BUF:13 TIME:0.000253677
ITER:32 GLOBAL:0.0983431 T2SIN:8.10623e-06 PILOT_SINH:5.67436e-05 FREQ_PHASE_SINH:8.34465e-05 PFC:3.76701e-05 MAC:2.24113e-05 SEQ:49124 DET:30 FR_IN_BUF:14 TIME:0.000279903
ITER:33 GLOBAL:0.0986235 T2SIN:7.86781e-06 PILOT_SINH:5.74589e-05 FREQ_PHASE_SINH:7.84397e-05 PFC:4.26769e-05 MAC:2.31266e-05 SEQ:32 DET:31 FR_IN_BUF:15 TIME:0.00025177
ITER:34 GLOBAL:0.0988755 T2SIN:1.16825e-05 PILOT_SINH:6.00815e-05 FREQ_PHASE_SINH:8.79765e-05 PFC:3.95775e-05 MAC:2.38419e-05 SEQ:1856 DET:32 FR_IN_BUF:16 TIME:0.000262976
ITER:35 GLOBAL:0.0991387 T2SIN:8.10623e-06 PILOT_SINH:5.96046e-05 FREQ_PHASE_SINH:9.17912e-05 PFC:3.57628e-05 MAC:2.26498e-05 SEQ:34 DET:33 FR_IN_BUF:17 TIME:0.000258923
ITER:36 GLOBAL:0.0993979 T2SIN:7.15256e-06 PILOT_SINH:5.93662e-05 FREQ_PHASE_SINH:8.27312e-05 PFC:3.74317e-05 MAC:2.26498e-05 SEQ:35 DET:34 FR_IN_BUF:18 TIME:0.000249863
ITER:37 GLOBAL:0.099648 T2SIN:8.58307e-06 PILOT_SINH:5.72205e-05 FREQ_PHASE_SINH:7.96318e-05 PFC:3.55244e-05 MAC:2.24113e-05 SEQ:36 DET:35 FR_IN_BUF:19 TIME:0.00024271
ITER:38 GLOBAL:0.0998912 T2SIN:1.12057e-05 PILOT_SINH:5.65052e-05 FREQ_PHASE_SINH:7.86781e-05 PFC:3.52859e-05 MAC:2.24113e-05 SEQ:37 DET:36 FR_IN_BUF:20 TIME:0.000256777
ITER:39 GLOBAL:0.100148 T2SIN:1.09673e-05 PILOT_SINH:6.48499e-05 FREQ_PHASE_SINH:8.15392e-05 PFC:3.74317e-05 MAC:2.38419e-05 SEQ:38 DET:37 FR_IN_BUF:21 TIME:0.000272751
ITER:40 GLOBAL:0.100421 T2SIN:1.12057e-05 PILOT_SINH:6.17504e-05 FREQ_PHASE_SINH:7.84397e-05 PFC:3.48091e-05 MAC:2.26498e-05 SEQ:39 DET:38 FR_IN_BUF:22 TIME:0.00027132
ITER:41 GLOBAL:0.100693 T2SIN:9.05991e-06 PILOT_SINH:6.19888e-05 FREQ_PHASE_SINH:7.79629e-05 PFC:3.50475e-05 MAC:2.24113e-05 SEQ:40 DET:39 FR_IN_BUF:23 TIME:0.000252962
ITER:42 GLOBAL:0.100946 T2SIN:1.00136e-05 PILOT_SINH:5.67436e-05 FREQ_PHASE_SINH:7.89165e-05 PFC:3.45707e-05 MAC:2.26498e-05 SEQ:41 DET:40 FR_IN_BUF:24 TIME:0.000269175
ITER:43 GLOBAL:0.101216 T2SIN:1.00136e-05 PILOT_SINH:5.96046e-05 FREQ_PHASE_SINH:8.41618e-05 PFC:3.93391e-05 MAC:2.24113e-05 SEQ:1860 DET:41 FR_IN_BUF:25 TIME:0.000272036
ITER:44 GLOBAL:0.101488 T2SIN:1.26362e-05 PILOT_SINH:5.67436e-05 FREQ_PHASE_SINH:7.89165e-05 PFC:3.86238e-05 MAC:2.28882e-05 SEQ:34804 DET:42 FR_IN_BUF:26 TIME:0.000267506
ITER:45 GLOBAL:0.101756 T2SIN:1.23978e-05 PILOT_SINH:6.00815e-05 FREQ_PHASE_SINH:8.89301e-05 PFC:3.86238e-05 MAC:2.36034e-05 SEQ:776 DET:43 FR_IN_BUF:27 TIME:0.000288248
ITER:46 GLOBAL:0.102045 T2SIN:1.12057e-05 SDR:0.0402164 CONVERT:0.000319242 PILOT_SINH:8.55923e-05 FREQ_PHASE_SINH:0.00010705 PFC:5.03063e-05 MAC:3.19481e-05 SEQ:45 DET:44 FR_IN_BUF:1 TIME:0.0408728
ITER:47 GLOBAL:0.142918 T2SIN:1.12057e-05 PILOT_SINH:6.19888e-05 FREQ_PHASE_SINH:7.89165e-05 PFC:4.3869e-05 MAC:2.59876e-05 SEQ:29461 DET:45 FR_IN_BUF:2 TIME:0.000287294
ITER:48 GLOBAL:0.143206 T2SIN:8.82149e-06 PILOT_SINH:5.91278e-05 FREQ_PHASE_SINH:7.84397e-05 PFC:4.00543e-05 MAC:2.52724e-05 SEQ:3976 DET:46 FR_IN_BUF:3 TIME:0.000325918
ITER:49 GLOBAL:0.143535 T2SIN:9.53674e-06 PILOT_SINH:6.10352e-05 FREQ_PHASE_SINH:8.22544e-05 PFC:3.83854e-05 MAC:2.45571e-05 SEQ:48 DET:47 FR_IN_BUF:4 TIME:0.000285625
ITER:50 GLOBAL:0.143821 T2SIN:9.05991e-06 PILOT_SINH:6.00815e-05 FREQ_PHASE_SINH:8.22544e-05 PFC:3.71933e-05 MAC:2.36034e-05 SEQ:49 DET:48 FR_IN_BUF:5 TIME:0.00027132
ITER:51 GLOBAL:0.144093 T2SIN:9.29832e-06 PILOT_SINH:6.07967e-05 FREQ_PHASE_SINH:8.44002e-05 PFC:3.71933e-05 MAC:2.40803e-05 SEQ:50 DET:49 FR_IN_BUF:6 TIME:0.00026989
ITER:52 GLOBAL:0.144363 T2SIN:8.58307e-06 PILOT_SINH:6.05583e-05 FREQ_PHASE_SINH:8.2016e-05 PFC:3.67165e-05 MAC:2.36034e-05 SEQ:51 DET:50 FR_IN_BUF:7 TIME:0.000275612
ITER:53 GLOBAL:0.144639 T2SIN:1.4782e-05 PILOT_SINH:5.93662e-05 FREQ_PHASE_SINH:8.67844e-05 PFC:3.6478e-05 MAC:2.36034e-05 SEQ:52 DET:51 FR_IN_BUF:8 TIME:0.000277281
ITER:54 GLOBAL:0.144917 T2SIN:8.34465e-06 PILOT_SINH:6.07967e-05 FREQ_PHASE_SINH:7.86781e-05 PFC:3.50475e-05 MAC:2.24113e-05 SEQ:53 DET:52 FR_IN_BUF:9 TIME:0.000238419
ITER:55 GLOBAL:0.145156 T2SIN:1.00136e-05 PILOT_SINH:5.72205e-05 FREQ_PHASE_SINH:8.44002e-05 PFC:3.67165e-05 MAC:2.43187e-05 SEQ:54 DET:53 FR_IN_BUF:10 TIME:0.000250816
ITER:56 GLOBAL:0.145407 T2SIN:7.86781e-06 PILOT_SINH:5.6982e-05 FREQ_PHASE_SINH:7.84397e-05 PFC:3.69549e-05 MAC:2.26498e-05 SEQ:1868 DET:54 FR_IN_BUF:11 TIME:0.000241518
ITER:57 GLOBAL:0.145649 T2SIN:6.91414e-06 PILOT_SINH:5.72205e-05 FREQ_PHASE_SINH:8.53539e-05 PFC:3.48091e-05 MAC:2.26498e-05 SEQ:56 DET:55 FR_IN_BUF:12 TIME:0.000267029
